system:index,NDII,NDVI,NDWI,month,point_id,.geo
4287_0,0.13286744,0.61011314,0.15833835,1,21626,"{""type"":""MultiPoint"",""coordinates"":[]}"
4288_0,0.010220903,0.15308963,0.017187756,1,23285,"{""type"":""MultiPoint"",""coordinates"":[]}"
4289_0,0.29308277,0.75669473,0.33333334,1,15375,"{""type"":""MultiPoint"",""coordinates"":[]}"
4290_0,0.36309913,0.8358192,0.41316718,1,17219,"{""type"":""MultiPoint"",""coordinates"":[]}"
4291_0,0.14125638,0.6862679,0.16071095,1,5523,"{""type"":""MultiPoint"",""coordinates"":[]}"
4292_0,-0.11267156,0.44966444,-0.14708786,1,3448,"{""type"":""MultiPoint"",""coordinates"":[]}"
4293_0,0.036326397,0.5320262,0.17907445,1,11124,"{""type"":""MultiPoint"",""coordinates"":[]}"
4294_0,-0.16707982,0.35253772,-0.13582955,1,22202,"{""type"":""MultiPoint"",""coordinates"":[]}"
4295_0,-0.12456469,0.3560738,-0.14542975,1,5762,"{""type"":""MultiPoint"",""coordinates"":[]}"
4296_0,-0.097881466,0.43408716,-0.22318494,1,11919,"{""type"":""MultiPoint"",""coordinates"":[]}"
4297_0,0.066578336,0.5987526,0.043773327,1,3165,"{""type"":""MultiPoint"",""coordinates"":[]}"
4298_0,0.0652578,0.6020779,0.05178048,1,9622,"{""type"":""MultiPoint"",""coordinates"":[]}"
4299_0,0.3063305,0.6790841,0.2448492,1,24570,"{""type"":""MultiPoint"",""coordinates"":[]}"
4300_0,0.05285935,0.59343547,0.026423832,1,25170,"{""type"":""MultiPoint"",""coordinates"":[]}"
4301_0,0.29291973,0.8026853,0.34817725,1,2074,"{""type"":""MultiPoint"",""coordinates"":[]}"
4302_0,0.2137918,0.01881838,0.21438695,1,18486,"{""type"":""MultiPoint"",""coordinates"":[]}"
4303_0,0.14156707,0.79956234,0.119825706,1,19597,"{""type"":""MultiPoint"",""coordinates"":[]}"
4304_0,-0.050069265,0.21052632,-0.08131241,1,8735,"{""type"":""MultiPoint"",""coordinates"":[]}"
4305_0,0.091219835,0.6321376,0.14552549,1,6198,"{""type"":""MultiPoint"",""coordinates"":[]}"
4306_0,0.21675774,0.47795194,0.20435855,1,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4307_0,0.05387883,0.3300585,0.085793056,1,4256,"{""type"":""MultiPoint"",""coordinates"":[]}"
4308_0,-0.122551255,0.3103918,-0.18378608,1,4579,"{""type"":""MultiPoint"",""coordinates"":[]}"
4309_0,0.042056076,0.27089947,0.040145986,1,3658,"{""type"":""MultiPoint"",""coordinates"":[]}"
4310_0,0.2029871,0.7418756,0.21646273,1,257,"{""type"":""MultiPoint"",""coordinates"":[]}"
4311_0,0.3828877,0.8276699,0.41732284,1,2202,"{""type"":""MultiPoint"",""coordinates"":[]}"
4312_0,0.32263815,0.78173304,0.36666667,1,9770,"{""type"":""MultiPoint"",""coordinates"":[]}"
4313_0,-0.08580886,0.46218804,-0.0575159,1,13885,"{""type"":""MultiPoint"",""coordinates"":[]}"
4314_0,0.44081172,0.07651715,0.4647482,1,18839,"{""type"":""MultiPoint"",""coordinates"":[]}"
4315_0,0.1171071,0.708377,0.11485156,1,16623,"{""type"":""MultiPoint"",""coordinates"":[]}"
4316_0,-0.029630857,0.49507666,-0.031295255,1,22334,"{""type"":""MultiPoint"",""coordinates"":[]}"
4317_0,0.39707536,0.8018416,0.32705587,1,11896,"{""type"":""MultiPoint"",""coordinates"":[]}"
4318_0,0.09451852,0.63976705,0.092688896,1,19924,"{""type"":""MultiPoint"",""coordinates"":[]}"
4319_0,-0.07732181,0.49757373,-0.102661595,1,23337,"{""type"":""MultiPoint"",""coordinates"":[]}"
4320_0,-0.055364117,0.3921075,-0.11158683,1,21238,"{""type"":""MultiPoint"",""coordinates"":[]}"
4321_0,0.16745225,0.6014572,0.13415892,1,5460,"{""type"":""MultiPoint"",""coordinates"":[]}"
4322_0,0.087893866,0.70800626,-0.007663674,1,19636,"{""type"":""MultiPoint"",""coordinates"":[]}"
4323_0,0.03683995,0.41019955,-0.0066310163,1,22793,"{""type"":""MultiPoint"",""coordinates"":[]}"
4324_0,-0.02067336,0.49317738,-0.026683608,1,484,"{""type"":""MultiPoint"",""coordinates"":[]}"
4325_0,-0.11366154,0.46749222,-0.10980922,1,7757,"{""type"":""MultiPoint"",""coordinates"":[]}"
4326_0,0.34199733,0.82449234,0.3641359,1,359,"{""type"":""MultiPoint"",""coordinates"":[]}"
4327_0,-0.086391866,0.18266645,-0.09039388,1,3733,"{""type"":""MultiPoint"",""coordinates"":[]}"
4328_0,-0.16828886,0.34982935,-0.2102781,1,19598,"{""type"":""MultiPoint"",""coordinates"":[]}"
4329_0,0.17277147,0.7750511,-0.025363825,1,10854,"{""type"":""MultiPoint"",""coordinates"":[]}"
4330_0,0.07324017,0.04752919,-0.023581535,1,9463,"{""type"":""MultiPoint"",""coordinates"":[]}"
4331_0,0.2965601,0.7639312,0.21225402,1,25425,"{""type"":""MultiPoint"",""coordinates"":[]}"
4332_0,-0.14991839,0.40123457,-0.13150173,1,17577,"{""type"":""MultiPoint"",""coordinates"":[]}"
4333_0,0.004907647,0.43427393,0.013097345,1,11269,"{""type"":""MultiPoint"",""coordinates"":[]}"
4334_0,3.3385295E-4,0.43296668,0.023689253,1,2527,"{""type"":""MultiPoint"",""coordinates"":[]}"
4335_0,0.21864952,0.53133273,0.2566534,1,22876,"{""type"":""MultiPoint"",""coordinates"":[]}"
